park_id,unit_code,name,designation,population_center,region
645,KAWW,Katahdin Woods and Waters NM,National Monument,Outlying Area,Northeast  Region
646,CANE,Camp Nelson NM,National Monument,Outlying Area,Southeast  Region
647,WWIM,World War I Memorial,National Memorial,Urban Area,National Capital  Region
649,ALAG,Alagnak Wild River,National Wild & Scenic River,Remote Area,Alaska Region
650,TUSK,Tule Springs Fossil Beds NM,National Monument,Suburban Area,Pacific West  Region
443,AMIS,Amistad NRA,National Recreation Area,Rural Area,Intermountain  Region
157,DESO,De Soto NMEM,National Memorial,Urban Area,Southeast  Region
159,CRLA,Crater Lake NP,National Park,Rural Area,Pacific West  Region
161,FLFO,Florissant Fossil Beds NM,National Monument,Outlying Area,Intermountain  Region
169,EISE,Eisenhower NHS,National Historic Site,Outlying Area,Northeast  Region
624,CECH,Cesar E. Chavez NM,National Monument,Outlying Area,Pacific West  Region
635,KEWE,Keweenaw NHP,National Historical Park,Rural Area,Midwest  Region
640,CAWO,Carter G. Woodson Home NHS,National Historic Site,Urban Area,National Capital  Region
641,STON,Stonewall NM,National Monument,Urban Area,Northeast  Region
642,EBLA,Ebey's Landing,National Reserve,Rural Area,Pacific West  Region
651,BICR,Birmingham Civil Rights NM,National Monument,Urban Area,Southeast  Region
661,CEBE,Cedar Creek and Belle Grove,National Historical Park,Mixed Area,Northeast  Region
662,FRST,First State NHP,National Historical Park,Suburban Area,Northeast  Region
663,HART,Harriet Tubman NHP,National Historical Park,Rural Area,Northeast  Region
625,CHYO,Charles Young Buffalo Soldiers NM,National Monument,Outlying Area,Midwest  Region
628,WACO,Waco Mammoth NM,National Monument,Outlying Area,Intermountain  Region
629,HONO,Honouliuli NHS,National Historic Site,Outlying Area,Pacific West  Region
261,TICA,Timpanogos Cave NM,National Monument,Outlying Area,Intermountain  Region
353,WEFA,Weir Farm NHP,National Historical Park,Urban Area,Northeast  Region
93,ABLI,Abraham Lincoln Birthplace NHP,National Historical Park,Outlying Area,Southeast  Region
91,BLUE,Bluestone NSR,National Wild & Scenic River,Rural Area,Northeast  Region
357,VAMA,Vanderbilt Mansion NHS,National Historic Site,Outlying Area,Northeast  Region
297,GATE,Gateway NRA,National Recreation Area,Suburban Area,Northeast  Region
604,TUAI,Tuskegee Airmen NHS,National Historic Site,Rural Area,Southeast  Region
196,HEHO,Herbert Hoover NHS,National Historic Site,Rural Area,Midwest  Region
141,NICO,Nicodemus NHS,National Historic Site,Rural Area,Midwest  Region
143,THST,Thomas Stone NHS,National Historic Site,Suburban Area,Northeast  Region
144,THKO,Thaddeus Kosciuszko NMEM,National Memorial,Urban Area,Northeast  Region
145,TUZI,Tuzigoot NM,National Monument,Outlying Area,Intermountain  Region
241,LACH,Lake Chelan NRA,National Recreation Area,Outlying Area,Pacific West  Region
98,AZRU,Aztec Ruins NM,National Monument,Outlying Area,Intermountain  Region
99,CLBA,Clara Barton NHS,National Historic Site,Urban Area,National Capital  Region
100,BEOL,Bent's Old Fort NHS,National Historic Site,Rural Area,Intermountain  Region
242,SAJH,San Juan Island NHP,National Historical Park,Remote Area,Pacific West  Region
365,FORA,Fort Raleigh NHS,National Historic Site,Rural Area,Southeast  Region
110,BOWA,Booker T. Washington NM,National Monument,Outlying Area,Northeast  Region
111,DETO,Devils Tower NM,National Monument,Rural Area,Intermountain  Region
117,CATO,Catoctin Mountain Park,Park (Other),Suburban Area,National Capital  Region
119,FOPU,Fort Pulaski NM,National Monument,Outlying Area,Southeast  Region
120,CUIS,Cumberland Island NS,National Seashore,Rural Area,Southeast  Region
121,JAGA,James A. Garfield NHS,National Historic Site,Urban Area,Midwest  Region
122,GICL,Gila Cliff Dwellings NM,National Monument,Rural Area,Intermountain  Region
168,CABR,Cabrillo NM,National Monument,Urban Area,Pacific West  Region
123,LACL,Lake Clark NP & PRES,National Park,Remote Area,Alaska Region
124,HOVE,Hovenweep NM,National Monument,Rural Area,Intermountain  Region
125,JICA,Jimmy Carter NHP,National Historical Park,Rural Area,Southeast  Region
126,OZAR,Ozark NSR,National River,Rural Area,Midwest  Region
